id,crime_type,date,time,location,incident_description,vehicle_description,age,eye_color,hair_color,height,race,sex,weight,additional_description,weapon,email_from,email_subject,message_id
52,Robbery and Attempted Robbery,2024-04-01,12:15 a.m.,2300 block of Portland Street and 700 block of 28th Street,"Two suspects exited a dark-colored sedan, walked up to a victim, and began punching him while demanding his property. The victim did not give up his property and ran inside his residence nearby. The suspects were then seen driving away northbound on Portland Street toward 23rd Street.",Dark red 2015 Honda Civic with license plate number 7MOT574,N/A,N/A,N/A,5 feet 10 inches,Hispanic or White,Male,200 pounds,Wearing a white shirt under a blue flannel and blue jeans.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery and Attempted Robbery,18e996e0defbde3c
53,Robbery and Attempted Rape,2024-03-18,2:59 a.m.,In front of the John & Alice Tyler Building located at 3601 Flower Street,"While walking on Flower Street, a non-USC victim was approached by a suspect on a bicycle. The suspect pushed the victim towards a nearby bush where he attempted to remove the victim's pants at knife point. A passerby heard the victim scream for help and intervened, which caused the suspect to stop his attack. The suspect took the victim's cell phone and left on his bicycle going eastbound on Flower Street under the 110 Freeway overpass.",Dark colored bicycle,25,N/A,N/A,5 feet 8 inches,Male,N/A,N/A,"Wearing a light colored hat, grey sweater, dark pants, and white shoes.",Knife,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery and Attempted Rape,18e51fc4364bf01f
54,N/A,2024-03-15,2:51 p.m.,3000 block of Figueroa Street,A suspect grabbed a victim by the buttocks and made a lewd comment toward the victim. The suspect then walked away in an unknown direction.,N/A,20,N/A,N/A,N/A,Black,Male,N/A,Wearing a black hooded sweatshirt,"If you are in immediate DANGER, call the Los Angeles Police Department at 911 or the USC Department of Public Safety at (213) 740-4321.",USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Sexual Battery/Fondling,18e447942bdfcd17
55,Burglary,2024-03-04,2:25 a.m.,On the 900 block of West 28th Street,The suspect entered a house through an unsecured side door while residents were inside. The suspect then stole property and left the location. Students and community members are encouraged to lock their doors to prevent such burglaries.,N/A,20,N/A,N/A,N/A,N/A,Male,N/A,"Wearing a black backpack, blue hoodie, blue jeans, black shoes, and carrying a gray Target tote bag.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Burglary,18e0a568c57fa9a3
56,Attempted Robbery,2024-02-26,3:37 p.m.,In front of Annenberg House located at 711 27th Street,"Two suspects approached a victim and surrounded her demanding her purse while a third suspect acted as a lookout across the street. One of the suspects flashed a gun in his hand at the victim. The victim and two suspects struggled over the victim's purse. When the suspects failed to get the purse, they fled on foot heading towards Figueroa Street from 27th Street.",N/A,35,Brown,N/A,5 feet 6 inches,Hispanic,Male,N/A,Medium build and wearing a blue jacket and black pants.,Black handgun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Attempted Robbery,18de861ba2c682f3
57,Burglary,2024-02-08,6:28 a.m.,Off campus in the 1100 block of 36th Place,The suspect entered an apartment through an unsecured front door. The suspect then stole property and fled the location. Students and community members are encouraged to lock their doors to prevent such burglaries.,Motorized scooter,30,N/A,Dark hair,N/A,White,Female,160 to 180 pounds,"Grey hoodie with ""Kennedy"" in written in black writing with a NASA logo, light blue ripped jeans, white shoes, and carrying a large black bag or purse.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Burglary,18d8b8760aaae25a
58,Burglary,2024-02-07,7:55 a.m.,Willard Keith Administration & Medical Forum Building (KAM) located at 1975 Zonal Avenue,"A suspect entered the building behind another person. The suspect used his body weight to break door locks inside the building and gain entry to approximately six offices. After taking property, the suspect fled the location on foot.",N/A,25,Brown,N/A,N/A,Black,Male,165 to 175 pounds,"Wearing a black hooded sweater with the word “RAW” in red print, black pants, gray and white shoes, with a black backpack.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Burglary,18d8647315f70179
59,Robbery,2024-01-26,N/A,2658 Menlo Avenue,The victim was walking on Menlo Avenue when he was approached by the two suspects. The two suspects threatened the victim and demanded his property. The victim gave them his backpack. The suspects were last seen walking westbound on Adams Boulevard toward Vermont Avenue.,No vehicle,19,N/A,N/A,N/A,Hispanic,Male,N/A,"Suspect was wearing black sweatshirt, gray pants",No weapon seen,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,18d49b0d36cc82f1
60,Attempted Aggravated Assault,2024-01-23,10:42 p.m.,At the corner of 30th Street and McClintock Avenue,A victim was running on McClintock Avenue when a group of 15 people riding bicycles were passing by. One suspect in the group of 15 people threw a rock at the victim and nearly hit him. The suspect was last seen riding away on his bicycle going eastbound on 30th Street.,Bicycle,18,Brown,Black and curly,N/A,Hispanic,Male,N/A,Wearing a dark grey shirt and black pants.,Rock,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Attempted Aggravated Assault,18d3aa6d357c96f5
61,Attempted Robbery,2024-01-14,7:51 p.m.,Wing Stop located at 3584 Figueroa Street,A suspect entered the Wing Stop with a gun and demanded money. The victim refused to give the suspect any money and the suspect fled the location on foot going eastbound on Exposition Boulevard.,N/A,N/A,N/A,N/A,N/A,Black,Male,N/A,"Wearing a navy blue zippered hoodie, black pants, and a ski mask.",Handgun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Attempted Robbery,18d0b89d7deadfb9
62,Burglary,2024-01-14,9:10 a.m.,1100 block of 1/2 West 37th Place,A suspect entered into an apartment through an unlocked front door while a victim was sleeping inside. The suspect took the victim's property and fled eastbound on 37th Place. Students and community members are encouraged to lock their doors to prevent such burglaries.,N/A,20,N/A,N/A,5 feet 6 inches,Hispanic,Female,160 pounds,Wearing a pink hooded sweater,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Burglary,18d0971eb5d0f230
63,Aggravated Assault and Attempted Robbery,2024-01-13,8:00 p.m.,At the corner of West 28th Street and South Hoover Street,"A group of suspects on bicycles got into an argument with multiple people. A bystander told the suspects to leave the area. One of the suspects then fired a gun in the direction of the bystander. The group of suspects then fled the area on their bicycles in multiple directions, some going south on University Avenue and others going east on 28th Street. There were no injuries reported by the victim.",Bicycles,15,N/A,N/A,5 feet 7 inches,Hispanic,Male,N/A,"Wearing a black hoodie, white shirt, tan pants, and white shoes.",Handgun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Aggravated Assault and Attempted Robbery,18d07354f2e840ff
64,Burglary,2024-01-12,1:00 p.m.,Hillview Apartments,A suspect entered into an apartment through an unlocked sliding glass door while two victims were sleeping inside. The suspect took the victims' electric scooters and fled in an unknown direction. Students and community members are encouraged to lock their doors to prevent such burglaries.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Burglary,18d003c2eef6c1b5
65,Robbery,2024-01-11,3:54 p.m.,On the 1300 block of West 30th Place,"Three suspects stopped their vehicle next to a victim on the sidewalk. Two of the suspects exited the vehicle, approached the victim with a handgun drawn and demanded the victim's property. The two suspects then got back in their vehicle and were last seen driving southbound on Catalina Street towards Jefferson Boulevard. The victim did not report any injuries.",White 2002 4-door Toyota Echo with license plate number 4XFN363,N/A,N/A,Curly hair,N/A,Hispanic or Black,Male,N/A,Wearing a blue hoodie,Handgun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,18cfb69facf8e038
66,N/A,2024-01-08,8:59 a.m.,In front of Kappa Alpha Theta located at 653 28th Street,"A suspect followed a victim for a few blocks and slapped the victim's buttocks. Two bystanders saw the incident, went to intervene and were punched by the suspect. The suspect then left in a vehicle and was last seen going eastbound on 31st Street towards Flower Street.",Grey Honda Civic with license plate number 6XLW277,25,N/A,N/A,N/A,Black or Hispanic,Male,N/A,"Wearing a black hat with a brim, a gray hooded sweatshirt and black baggy pants.",No weapon,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Sexual Battery/Fondling,18cead54ddab3f5d
67,Aggravated Assault,2024-01-06,10:09 p.m.,On the sidewalk in front of McClintock Apartments located at 1070 30th Street,A suspect riding his bicycle at the corner of 30th Street and McClintock Avenue raised a knife at the victim from about 10 feet away and threatened to stab the victim. The suspect then rode away on his bicycle on McClintock Avenue toward Jefferson Boulevard.,Red bicycle with gold rims,15,N/A,N/A,N/A,Black,Male,N/A,Wearing a dark blue hoodie with white graphics on the back and black pants.,Knife,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Aggravated Assault,18ce35e59e2b5830
68,Aggravated Assault,2023-12-18,2:20 a.m.,Jefferson Boulevard at McClintock Avenue,A victim driving eastbound on West Jefferson Boulevard stopped at the stoplight at McClintock Avenue and a suspect in a neighboring vehicle pointed a gun at the victim. The victim reverses away from the suspect's vehicle and the suspect continued to drive eastbound on West Jefferson Boulevard toward Vermont Avenue.,Grey Infiniti 4-door sedan,N/A,N/A,N/A,N/A,Hispanic,Male,N/A,Sitting in the driver's seat.,Gun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Aggravated Assault,18c7d3249d74bd53
69,Other,2023-12-10,3:55 p.m.,In front of CVS located at 3335 Figueroa Street,A suspect approached a victim and hit the victim in the head with their first. The suspect was last seen walking northbound on Figueroa Street from 32nd Street.,N/A,N/A,N/A,N/A,N/A,Black,Male,N/A,"Wearing a black short sleeve shirt, black pants, black shoes, and a backpack.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Other,18c56de9c010a13f
70,Robbery,2023-12-02,N/A,CVS Pharmacy located at 3335 Figueroa Street,"A store manager confronted three suspects in the process of shoplifting. One of the suspects, who was holding a baseball bat, threatened to strike the store manager with the bat. The suspects then fled from the store on foot and were last seen walking eastbound on 33rd Street.",N/A,N/A,N/A,N/A,N/A,Black,Male,N/A,Wearing a light green sweater.,Baseball bat,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,18c2c78c9025574b
71,Robbery,2023-11-27,08:04 a.m.,Metro Station located at 2460 Flower Street,"Two suspects approached a man at the Metro station, stabbed him, and took his wallet. Suspects were last seen riding their bicycles eastbound on Jefferson Boulevard to Hope Street and then northbound on Hope Street.",Bicycles,N/A,N/A,N/A,N/A,Black,Male,N/A,Wearing a beanie and riding a bicycle.,Knife,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,18c121b528ae4f5b
72,N/A,2023-11-27,08:07 a.m.,In front of Ralphs Supermarket located at 2600 Vermont Avenue,The suspect approached a female and grabbed her crotch. The suspect then attempted to grab a male USC student but was unsuccessful. The suspect was last seen walking eastbound on Adams Boulevard from Ellendale Place.,N/A,N/A,N/A,N/A,5 feet 8 inches,Black,Male,180-190 pounds,"Wearing a black hat, gray shirt, gray vest, gray pants, and white shoes.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Sexual Battery/Fondling,18c1208a31b76727
73,Rape,2023-11-01,3:00 a.m.,3600 block of South Grand Avenue,"A female student took a Lyft ride from a club in West Hollywood to her apartment near the University Park Campus. When they arrived at her apartment, the Lyft driver raped the student in his car.",Black sedan,25,N/A,Black,N/A,Black,Male,Thin build,With a black colored beard.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Rape,18b8d3f52aa5a391
74,Aggravated Assault,2023-10-29,2:50 p.m.,2900 block of Van Buren Place,"A victim was walking when a suspect, talking incoherently to himself, approached him. Without provocation, the suspect took out a knife and in a slashing motion cut the victim's sweater in his lower right abdomen area twice. The victim then ran away from the suspect.",N/A,40,Brown,Black,5 feet 7 inches,Hispanic,Male,180 pounds,Wearing a grey hoodie,Knife,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Aggravated Assault,18b8157dd0297d46
75,Aggravated Assault,2023-10-14,N/A,"West 25th Street and Ellendale Place, southwest corner","The victim was standing on the corner when the suspect rode past him on a bicycle. The suspect made several offensive comments, then stopped and threatened to stab the victim. The victim saw that the suspect had a knife in his hand. The victim's ride arrived and the victim got into the car. The suspect left the area eastbound on 25th Street.",No vehicle,40,N/A,N/A,N/A,Hispanic,Male,N/A,Wearing a black bicycle helmet and black shirt. He was riding a black beach cruiser with a red bag on the rear.,Knife,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Aggravated Assault,18b2fdb159c41b14
76,Burglary,2023-10-13,5:21 a.m.,1100 block west 37th Place,"The suspect entered the victim's residence through an unlocked front door. Once inside, he picked up several items from the front room and exited. He was last seen walking westbound on 37th Place away from the location.",No vehicle seen,N/A,N/A,N/A,N/A,N/A,Male,N/A,"Stocky build, dark hoodie with NASA logo on front, dark pants, white shoes",No weapon,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Burglary,18b2b677fb917634
77,Robbery,2023-10-11,5:53 p.m.,On Vermont Avenue near 36th Place,"A suspect was driving on Vermont Avenue when they stopped next to the victim, got out of their car, and ran up the victim. The suspect snatched the cell phone out of the victim's hands and fled in their vehicle toward 36th Place.",2021 Kia 4-door gray sedan with license plate number 8ZRB903,15,N/A,N/A,5 feet 7 inches,Black,Male,130 pounds,"Wearing a dark hoody with the Gucci logo on the front, dark pants, black and white shoes, and a light blue bracelet on their right wrist.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,18b21b6505b5949d
78,Motor Vehicle Theft,2023-10-07,N/A,USC Shrine Parking Structure 631 Jefferson Boulevard,"Two suspects broke into the victim's car, were able to start it and drove away. Immediately prior to this, the suspects had broken into another car but were unable to get it started.",Newer model Hyundai Elantra 4 door CA license number 8BTK819,25,N/A,Black,N/A,White,Male,N/A,"Full beard, dark clothing",No weapon,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Motor Vehicle Theft,18b0aeb1ce5c9f8d
79,Burglary,2023-10-07,4:50 a.m.,On the 700 block of 28th Street,"Three suspects gained entry into the victim's apartment and began to remove the victim's property. During this time, the victim arrived home and confronted the suspects. The suspects then fled the location and left the victim's property behind. The suspects were last seen going northbound on University Avenue from 28th Street.",N/A,N/A,N/A,N/A,N/A,N/A,Male,N/A,Wearing a blue hoodie and dark jeans.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Burglary,18b0ac56bc33c8da
80,Robbery,2023-10-03,5:45 p.m.,In front of University Gateway Apartments located at 3335 Figueroa Street,A suspect riding a bicycle snatched a woman's cell phone from her hands as he rode by. The suspect was last seen turning right on Jefferson Boulevard from Figueroa Street.,Dark colored bicycle,20,N/A,Brown braids,N/A,Black,Male,Thin build,Wearing a red sweater with white stripes and dark jeans.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,18af94e97fc7aca3
81,Aggravated Assault,2023-09-30,9:11 a.m.,At the corner of Exposition Boulevard and Figueroa Street,"While a woman was standing on the sidewalk, a vehicle with two suspects shot BB gun pellets at her arm. The suspects were last seen driving eastbound on 37th Street near Flower Street.","White Mercedes with partial license plate starting with ""8Y""",N/A,N/A,N/A,N/A,Black,Male,N/A,Wearing a hoodie,BB gun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Aggravated Assault,18ae72512dac7a55
82,Carjacking,2023-09-28,10:50 p.m.,On the street near the Hub Apartments and the Los Angeles Coliseum,A woman was waiting for a friend in her car. A suspect walking by jumped into the woman's car with a gun and demanded the woman drive to an ATM where the woman takes out money. The suspect and woman switch seats and the suspect begins driving. The suspect drove the woman to a convenience store and shortly after dropped the woman off at the corner of Crenshaw Boulevard and Manchester Boulevard unharmed.. The suspect drove away with the woman's car.,2020 silver Toyota Corolla with license plate number 8MRJ159,40,Brown,Black,5 feet 6 inches,Hispanic,Male,180 to 200 pounds,Wearing a black sweater and dark jeans.,Handgun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Carjacking,18ae0983e907e75d
83,Robbery,2023-09-25,5:46 p.m.,Northwest corner of 36th Place & Vermont Avenue,A suspect ran up behind a victim and snatched the cell phone out of the victim's hands.,N/A,20,Black,Brown,5 feet 6 inches,Black,Male,150 pounds,Wearing a brown jacket,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,18ad05a21d48a1c3
84,Robbery,2023-09-16,4:44 p.m.,30th Street & Shrine Place,Two suspects approached a man in his vehicle. The suspects demanded the man get out of his vehicle and displayed a gun. The man got out of the vehicle and the two suspects drove his car away.,Green BMW with license plate number 8HRU346,16,N/A,N/A,N/A,Hispanic,Male,N/A,Wearing a white sweater and black shorts,Handgun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,18aa105222c1b428
85,Burglary,2023-09-15,1:45 a.m.,The USC Mark and Mary Stevens Neuroimaging and Informatics Institute located at 2025 Zonal Avenue,A suspect smashed in a window and entered the building. The suspect looked around the building and left a short time later.,N/A,30,Brown,Brown,N/A,N/A,Male,N/A,"Wearing grey shirt, blue jeans and grey tennis shoes",Unknown tools,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Burglary,18a9fcade465ecf7
86,Aggravated Assault,2023-09-12,6:40 p.m.,Hoover Recreation Center located at 1010 25th Street,Two suspects were tagging at the park. A man was walking in front of the park and saw the two suspects tagging. One of the suspects walked toward the man and flashed a gun at him.,N/A,17,N/A,N/A,6 feet 1 inches,N/A,Male,200 pounds,"Wearing a black beanie, facemask, black hoodie, and black sweatpants",Semi-automatic blue steel handgun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Aggravated Assault,18a8ccc1beb23427
87,N/A,2023-09-12,1:30 p.m.,At the bus stop at Jefferson Boulevard & Hoover Street,A suspect walked up behind the victim and grabbed her left buttock. The suspect then walked away westbound on Jefferson Boulevard.,N/A,40,N/A,Black,5 feet 6 inches,N/A,Male,170 pounds,"Wearing a white t-shirt, royal blue basketball shorts with black stripe, black shoes, a black backpack, and black sunglasses",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Sexual Battery/Fondling,18a8b9c6e071f294
89,Attempted Robbery,2023-09-07,8:15 p.m.,Near San Pablo Street on Valley Boulevard on the sidewalk near Lincoln Park,A suspect approached a man walking to his car. The suspect demanded the man's money and the man refused. The suspect then clenched his fists and moved closer to the man. The man then left the area.,N/A,N/A,Brown,Brown,5 feet 8 inches,Hispanic,Male,160 to 170 pounds,Wearing a black shirt with a yellow circle logo and beige pants,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Attempted Robbery,18a7336e016c28f5
90,Attempted Robbery,2023-08-31,11:39 a.m.,"Citibank branch, located at 3615 Vermont Avenue","A man approached one of the tellers at the bank, demanded $10,000 and told them he had a gun, however no weapon was observed. The man then threatened to blow up the bank and the teller hit the panic button. Once the panic button was activated, the man ran out of the location.",N/A,18,N/A,N/A,5 feet 10 inches,Black,Male,150 pounds,"Wearing a grey rag on their face, grey hoodie, and black pants.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Attempted Robbery,18a4d45099fa0021
91,Aggravated Assault,2023-08-28,8:50 p.m.,At the corner of Downey Way and McClintock Avenue,Three juveniles exiting out of campus on their bicycles nearly collided with a car. The juveniles then shot at the vehicle with BB gun pellets. The juveniles fled going westbound on 36th Place from Vermont Avenue.,N/A,16,N/A,Brown,N/A,Hispanic,Male,N/A,"Wearing a light gray long sleeve shirt, red/orange shorts and riding on black bicycle.",BB gun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Aggravated Assault,18a3ffab2310987b
92,Burglary,2023-08-24,6:40 a.m.,1200 block of West 36th Street,A man went into an unlocked house and stole headphones and a laptop.,A two-door Silver Honda Accord with license plate number 5CUB562,N/A,N/A,N/A,N/A,Hispanic,Male,N/A,Wearing Dodgers jersey.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Burglary,18a29f69fbe2b93f
93,Aggravated Assault,2023-08-19,12:30 a.m.,In front of Century Apartments located at 3115 Orchard Avenue & in front of Bank of America located at 3201 Hoover Street,A man was walking northbound on Orchard Avenue from Jefferson Boulevard when a vehicle with two suspects pulled up to him and shot him in the head with a BB gun pellet. The suspects fled going westbound on Jefferson Boulevard.,A newer model white BMW or Honda 4-door sedan,N/A,N/A,N/A,N/A,N/A,Male,N/A,"Wearing a black ski mask, dark zip-up sweat shirt and seated in the right rear passenger seat.",BB gun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Aggravated Assault,18a100fa977b6626
94,Burglary,2023-08-15,9:30 p.m.,1100 block of West 37th Street,A man went to his apartment's garage to retrieve his laptop that he left on top of moving boxes. He discovered the laptop was gone and that his garage roll up door was in the open position. Apartment cameras located in and around the property confirmed that a suspect entered the garage and removed the man's laptop. The suspect immediately fled the property in an unknown direction.,N/A,N/A,N/A,Black,N/A,Hispanic,Male,N/A,"Wearing an orange shirt, black pants, white shoes, a white bag, with facial hair.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Burglary,18a017d70806968b
95,Robbery,2023-08-16,4:50 a.m.,South side exterior of The Mansion located at 3025 Figueroa Street,An Amazon delivery driver left his car unlocked and unattended with the keys still in the car when he got out to deliver a package. A suspect came upon the car while the delivery driver left to deliver the package. The suspect started to drive away with the car when the delivery driver noticed and tried to enter the passenger side door but was instead dragged for a few feet while the suspect drove away. The suspect fled going eastbound on Jefferson Boulevard from Flower Street.,Silver Toyota Corolla,N/A,N/A,N/A,N/A,Black,Male,N/A,Wearing all dark colored clothing.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,189fe94c78b14562
96,Robbery,2023-08-10,8:54 p.m.,In the parking lot of 1640 Marengo Street,A suspect got out of his vehicle with his dog and approached a contract security guard. The suspect punched the guard several times and took his phone. The victim was able to retrieve his phone back from suspect before the suspect got in his vehicle and drove away onto the northbound 5 freeway on-ramp.,Black Chevrolet sedan with license plate number 9DZT909,N/A,Brown,Brown,N/A,Hispanic,Male,N/A,"Wearing a grey hat, grey short sleeve shirt, black shorts, sandals, with facial hair.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,189e30f5271da4fc
97,Burglary,2023-07-25,2:10 p.m.,2700 block of Menlo Avenue,"A USC student opened her bedroom door to find a man climbing through the window to go inside. When the man saw the student, he left and ran west toward Vermont Avenue.",N/A,30,N/A,N/A,5 feet 9 inches,White,Male,N/A,Wearing a grey hoodie with red writing and a long black beard.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Burglary,1898fb0ef43dd958
98,Robbery,2023-07-21,1:25 p.m.,Rooftop of Figueroa Street Parking Structure located at 3533 Flower Street,A suspect walked up to a non-USC affiliated victim and simulated having a handgun in his waistband. The suspect told the victim he was going to kill him and took the victim's phone. The suspect fled on his bicycle.,Bicycle,30,Blue,Bald head,5 feet 10 inches,Black,Male,220 pounds,"Wearing a grey shirt, blue shorts, black socks, dark shoes and has tattoos on his head.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,1897a62391ecb836
99,Other,2023-07-01,9:24 a.m.,Women's restroom adjacent to the Credit Union at the University Village,A non-USC affiliated woman was using the restroom when a man entered the stall next to hers. The man placed a backpack on the ground with a phone camera facing into her stall. The woman immediately exited the restroom.,N/A,30,Brown,Black,N/A,Asian,Male,180 pounds,"Wearing a dark black and grey jacket, grey shirt, tan pants, grey shoes, and a black backpack.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Other,189139e16770e8fa
100,Robbery,2023-06-07,10:37 p.m.,South side of Exposition Boulevard between Bill Robertson Lane and Vermont Avenue,"Three suspects walking on Exposition Boulevard approached a non-USC affiliated victim and demanded money from him. When the victim told them he did not have any money, the three suspects assaulted him. The three suspects then left the scene going southbound on Bill Robertson Lane.",N/A,29,N/A,Black,5 feet 11 inches,Black,Male,200 pounds,Wearing a black shirt and black pants.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,18899d0bc071b26a
148,N/A,2022-09-04,N/A,"Figueroa Street north of Exposition Blvd., west sidewalk","The suspect, who was on a skateboard, approached the victim, a student, from behind. As he passed her, he slapped her buttocks with his hand. He then continued northbound on Figueroa Blvd.",N/A,N/A,N/A,Long reddish brown hair,N/A,White,Male,N/A,"White tank top, dark pants, dark skate shoes",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Sexual Battery/Fondling,1830b343390a92b6
101,Aggravated Assault,2023-06-06,10:49 p.m.,AMPM store located at corner of Exposition Boulevard and Vermont Avenue,A suspect entered the AMPM store and attempted to steal. The suspect was stopped by the store clerk who is not USC affiliated. The suspect proceeded to leave the store. The suspect later returned to the AMPM and pointed a handgun at the store clerk from outside the store. The suspect then walked away from the AMPM going westbound on Exposition Boulevard.,N/A,N/A,N/A,N/A,N/A,Black,Male,150 pounds,"Wearing a blue sweater, black beanie, black pants, and black backpack.",Blue steel handgun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Aggravated Assault,18894bed3e65155f
102,Burglary,2023-06-01,7:00 a.m.,2900 block of Orchard Avenue,"A suspect broke into an apartment occupied by USC students. The suspect ransacked a couple of the rooms in the apartment and took a backpack belonging to one of the students. As the suspect poked his head into one of the rooms, he noticed the occupant inside was awake and proceeded to run out of the apartment. The suspect fled in an unknown direction.",No description available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Burglary,18877c6000826f1d
103,Robbery,2023-05-17,3:55 a.m.,In front of 3558 South Normandie Avenue,"A USC student was carrying multiple bags walking home when a suspect approached the student from behind and pushed him. The suspect then demanded the student's bags and the student gave the suspect his bags. As the suspect left southbound on South Normandie Avenue, he dropped most of the student's property.",N/A,N/A,N/A,N/A,N/A,Black,Male,N/A,Wearing a black hoodie.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,1882a5c64faca8e2
104,Robbery,2023-05-12,2:21 a.m.,"In the parking lot of Tacos El Unico, located at 1375 West Adams Boulevard",Four men approached a non-USC student and demanded the victim's property. One of the men threatened the victim using a gun. The other three men hit the victim and took his scooter and clothing. The suspect who threatened the victim with the firearm is now in LAPD custody. The three remaining suspects fled in a car away from the scene.,"Black Chevrolet Tahoe with license plate number ""REPNLOS""",N/A,Brown,Black,N/A,Hispanic,Male,N/A,"Wearing a baseball hat, black hoodie, black pants, and black slicked back hair.",Black revolver with black handle,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,1880fbf099cc5be1
